c,Li,L,R,G
1,0.1359984185216563,0.17533948194404958,0.16723743837026347,0.14414485160949925
2,0.14370365721634476,0.17533948194404958,0.16723743837026347,0.14414485160949925
3,0.15046812234751172,0.17533948194404958,0.16723743837026347,0.14414485160949925
4,0.15633757464818657,0.17533948194404958,0.16723743837026347,0.14414485160949925
5,0.16136058171675946,0.17533948194404958,0.16723743837026347,0.14414485160949925
6,0.16558740623123985,0.17533948194404958,0.16723743837026347,0.14414485160949925
7,0.16906909783698715,0.17533948194404958,0.16723743837026347,0.14414485160949925
8,0.1718567564921501,0.17533948194404958,0.16723743837026347,0.14414485160949925
9,0.17400094017026618,0.17533948194404958,0.16723743837026347,0.14414485160949925
10,0.17555119405050978,0.17533948194404958,0.16723743837026347,0.14414485160949925
11,0.17655568184668283,0.17533948194404958,0.16723743837026347,0.14414485160949925
12,0.17734547642054588,0.17533948194404958,0.16723743837026347,0.14414485160949925
13,0.17796076979604727,0.17533948194404958,0.16723743837026347,0.14414485160949925
14,0.17843589154254935,0.17533948194404958,0.16723743837026347,0.14414485160949925
15,0.17879984065995252,0.17533948194404958,0.16723743837026347,0.14414485160949925
16,0.17907680615400706,0.17533948194404958,0.16723743837026347,0.14414485160949925
17,0.17928666899494627,0.17533948194404958,0.16723743837026347,0.14414485160949925
18,0.17944548029107732,0.17533948194404958,0.16723743837026347,0.14414485160949925
19,0.1795659121920702,0.17533948194404958,0.16723743837026347,0.14414485160949925
20,0.17965767935624932,0.17533948194404958,0.16723743837026347,0.14414485160949925
21,0.17972792984490688,0.17533948194404958,0.16723743837026347,0.14414485160949925
22,0.179781605102308,0.17533948194404958,0.16723743837026347,0.14414485160949925
23,0.17982256547290604,0.17533948194404958,0.16723743837026347,0.14414485160949925
24,0.17985380479105426,0.17533948194404958,0.16723743837026347,0.14414485160949925
25,0.17987762917298583,0.17533948194404958,0.16723743837026347,0.14414485160949925
26,0.17989580450788864,0.17533948194404958,0.16723743837026347,0.14414485160949925
27,0.17990967678710937,0.17533948194404958,0.16723743837026347,0.14414485160949925
28,0.1799202690460678,0.17533948194404958,0.16723743837026347,0.14414485160949925
29,0.17992835833278406,0.17533948194404958,0.16723743837026347,0.14414485160949925
30,0.17993453576735616,0.17533948194404958,0.16723743837026347,0.14414485160949925
31,0.17993925242332431,0.17533948194404958,0.16723743837026347,0.14414485160949925
32,0.1799428534478975,0.17533948194404958,0.16723743837026347,0.14414485160949925
33,0.17994560254546785,0.17533948194404958,0.16723743837026347,0.14414485160949925
34,0.17994770099411767,0.17533948194404958,0.16723743837026347,0.14414485160949925
35,0.17994930233047185,0.17533948194404958,0.16723743837026347,0.14414485160949925
36,0.17995052362943173,0.17533948194404958,0.16723743837026347,0.14414485160949925
37,0.1799514541282477,0.17533948194404958,0.16723743837026347,0.14414485160949925
38,0.1799521617952367,0.17533948194404958,0.16723743837026347,0.14414485160949925
39,0.17995269831872066,0.17533948194404958,0.16723743837026347,0.14414485160949925
40,0.17995310288821922,0.17533948194404958,0.16723743837026347,0.14414485160949925
41,0.17995340505464494,0.17533948194404958,0.16723743837026347,0.14414485160949925
42,0.1799536268865599,0.17533948194404958,0.16723743837026347,0.14414485160949925
43,0.1799537845830647,0.17533948194404958,0.16723743837026347,0.14414485160949925
44,0.17995388965845546,0.17533948194404958,0.16723743837026347,0.14414485160949925
45,0.17995394978425922,0.17533948194404958,0.16723743837026347,0.14414485160949925
46,0.17995396935005759,0.17533948194404958,0.16723743837026347,0.14414485160949925
47,0.17995394978425922,0.17533948194404958,0.16723743837026347,0.14414485160949925
48,0.17995388965845538,0.17533948194404958,0.16723743837026347,0.14414485160949925
49,0.1799537845830647,0.17533948194404958,0.16723743837026347,0.14414485160949925
50,0.1799536268865599,0.17533948194404958,0.16723743837026347,0.14414485160949925
51,0.17995340505464494,0.17533948194404958,0.16723743837026347,0.14414485160949925
52,0.17995310288821922,0.17533948194404958,0.16723743837026347,0.14414485160949925
53,0.17995269831872066,0.17533948194404958,0.16723743837026347,0.14414485160949925
54,0.17995216179523663,0.17533948194404958,0.16723743837026347,0.14414485160949925
55,0.1799514541282477,0.17533948194404958,0.16723743837026347,0.14414485160949925
56,0.17995052362943173,0.17533948194404958,0.16723743837026347,0.14414485160949925
57,0.17994930233047193,0.17533948194404958,0.16723743837026347,0.14414485160949925
58,0.17994770099411767,0.17533948194404958,0.16723743837026347,0.14414485160949925
59,0.17994560254546785,0.17533948194404958,0.16723743837026347,0.14414485160949925
60,0.1799428534478975,0.17533948194404958,0.16723743837026347,0.14414485160949925
61,0.17993925242332431,0.17533948194404958,0.16723743837026347,0.14414485160949925
62,0.1799345357673562,0.17533948194404958,0.16723743837026347,0.14414485160949925
63,0.17992835833278406,0.17533948194404958,0.16723743837026347,0.14414485160949925
64,0.1799202690460678,0.17533948194404958,0.16723743837026347,0.14414485160949925
65,0.17990967678710942,0.17533948194404958,0.16723743837026347,0.14414485160949925
66,0.17989580450788864,0.17533948194404958,0.16723743837026347,0.14414485160949925
67,0.17987762917298575,0.17533948194404958,0.16723743837026347,0.14414485160949925
68,0.17985380479105426,0.17533948194404958,0.16723743837026347,0.14414485160949925
69,0.17982256547290604,0.17533948194404958,0.16723743837026347,0.14414485160949925
70,0.17978160510230798,0.17533948194404958,0.16723743837026347,0.14414485160949925
71,0.17972792984490688,0.17533948194404958,0.16723743837026347,0.14414485160949925
72,0.17965767935624932,0.17533948194404958,0.16723743837026347,0.14414485160949925
73,0.1795659121920702,0.17533948194404958,0.16723743837026347,0.14414485160949925
74,0.1794454802910773,0.17533948194404958,0.16723743837026347,0.14414485160949925
75,0.17928666899494627,0.17533948194404958,0.16723743837026347,0.14414485160949925
76,0.17907680615400712,0.17533948194404958,0.16723743837026347,0.14414485160949925
77,0.17879984065995255,0.17533948194404958,0.16723743837026347,0.14414485160949925
78,0.17843589154254935,0.17533948194404958,0.16723743837026347,0.14414485160949925
79,0.17796076979604727,0.17533948194404958,0.16723743837026347,0.14414485160949925
80,0.17734547642054593,0.17533948194404958,0.16723743837026347,0.14414485160949925
81,0.17655568184668283,0.17533948194404958,0.16723743837026347,0.14414485160949925
82,0.17555119405050978,0.17533948194404958,0.16723743837026347,0.14414485160949925
83,0.1740009401702662,0.17533948194404958,0.16723743837026347,0.14414485160949925
84,0.1718567564921501,0.17533948194404958,0.16723743837026347,0.14414485160949925
85,0.16906909783698723,0.17533948194404958,0.16723743837026347,0.14414485160949925
86,0.16558740623123977,0.17533948194404958,0.16723743837026347,0.14414485160949925
87,0.1613605817167594,0.17533948194404958,0.16723743837026347,0.14414485160949925
88,0.15633757464818662,0.17533948194404958,0.16723743837026347,0.14414485160949925
89,0.15046812234751172,0.17533948194404958,0.16723743837026347,0.14414485160949925
90,0.1437036572163448,0.17533948194404958,0.16723743837026347,0.14414485160949925
91,0.1359984185216563,0.17533948194404958,0.16723743837026347,0.14414485160949925
