r,L,R,G
1,10.000000000000004,10.000000000000007,10.000000000000002
2,2.657257506142586,2.5643710705766227,1.765103309670329
3,1.7397152802741027,1.61142895912729,1.0550475349072892
4,1.339627560896037,1.185817828826773,0.7634842462439367
5,1.1166018556766626,0.9405897029663385,0.6033802339663031
6,0.9774232141833494,0.7802494711995845,0.5020561187065669
7,0.8849277066304678,0.6669597174204449,0.4321898103726739
8,0.8206511216189174,0.5825643872139583,0.3811484372089735
9,0.7738780715071433,0.5172241093341738,0.34227187113099056
10,0.7378310376925276,0.46513278565689686,0.3117117012897658
11,0.7081686541272569,0.4226402103990349,0.28708762107579094
12,0.6822167186721635,0.3873353196330314,0.2668477625431825
13,0.6584336864071919,0.35756054406281673,0.2499369340420538
14,0.6360009387316813,0.3321377128873303,0.23561257664936336
15,0.614525895677993,0.31020533321017824,0.22333695934813658
16,0.5938461732447787,0.29111790296697415,0.21271112715497517
17,0.5739115100831825,0.27438139674413914,0.2034328705094836
18,0.5547182044884194,0.2596106641494169,0.1952691018603242
19,0.5362756730149401,0.2465005396874543,0.1880371869126207
20,0.5185911898971493,0.23480577831274346,0.18159201630627397
21,0.5016642215948914,0.22432681646453953,0.17581685820764828
22,0.48548544276554395,0.21489946676574967,0.17061676145223462
23,0.47003778333689783,0.20638732482888866,0.1659137162627892
24,0.4552981586127975,0.19867608218519742,0.16164304942092741
25,0.4412392461541803,0.19166920286806313,0.15775070149889908
26,0.4278310448513569,0.18528459173147765,0.15419114424289856
27,0.4150421358325263,0.17945199505895582,0.15092576917433906
28,0.40284064934723807,0.17411094954175987,0.1479216275794141
29,0.39119497541856413,0.1692091473055579,0.14515043566382843
30,0.38007426572919945,0.16470112039553067,0.14258778201028416
31,0.36944877254863645,0.1605471732081281,0.1402124909489112
32,0.3592900640744688,0.15671250927266678,0.13800610722084494
33,0.34957114807927053,0.15316651178547672,0.13595247582861802
34,0.34026652882499797,0.1498821468468014,0.13403739719538071
35,0.33135221599049275,0.14683546566312222,0.13224834236004843
36,0.32280569582828617,0.14400518805398813,0.13057421637418617
37,0.3146058774857478,0.14137235170018772,0.12900516065806356
38,0.30673303000065383,0.13892001434782117,0.1275323870435403
39,0.2991687143768127,0.1366329997127917,0.12614803774153277
40,0.2918957129820262,0.13449767979605348,0.12484506663814342
41,0.28489795814119734,0.1325017877428539,0.12361713823091326
42,0.2781604614060107,0.13063425646778398,0.12245854122742139
43,0.2716692446200655,0.1288850791144655,0.12136411438882136
44,0.26541127358542815,0.12724518808830027,0.12032918264542201
45,0.2593743948776537,0.12570634993765786,0.11934950186609175
46,0.25354727614691885,0.12426107379483214,0.11842121094782701
47,0.2479193500736763,0.12290253144577774,0.11754079012133782
48,0.24248076200503507,0.12162448739364148,0.11670502455454859
49,0.23722232116465386,0.12042123752777552,0.11591097248744493
50,0.2321354551758047,0.11928755521662619,0.11515593725568514
51,0.22721216741292133,0.11821866380398492,0.11443744266228999
52,0.22244465092805102,0.1172102874796649,0.11375321124081109
53,0.21782529259637365,0.11625850041016154,0.1131011450230507
54,0.2133470006352677,0.11535967353498676,0.1124793084823542
55,0.20900316184545822,0.11451044670346945,0.1118859133718717
56,0.204787603057018,0.11370770415026635,0.11131930521771434
57,0.2006945563106991,0.11294855283427808,0.1107779512609975
58,0.19671862736706014,0.11223030323823416,0.11026042967149574
59,0.19285476718916397,0.11155045228760467,0.10976541987994243
60,0.1890982460906774,0.11090666809943031,0.10929169389663343
61,0.1854446302812185,0.1102967763155828,0.10883810850155096
62,0.1818897605757539,0.10971874781209344,0.10840359820620576
63,0.1784297330656442,0.1091706876075499,0.10798716890021942
64,0.17506088157630775,0.1086508248200404,0.10758789210667057
65,0.17177976176109436,0.10815750354446274,0.1072048997796941
66,0.16858313670344965,0.10768917454085271,0.10683737958598485
67,0.16546796392038401,0.10724438764026088,0.10648457061891274
68,0.16243138368020568,0.10682178478808191,0.10614575950006985
69,0.15947070856704246,0.10642009365600645,0.1058202768283787
70,0.15658341424449415,0.10603812176325979,0.1055074939415108
71,0.15376713139158482,0.10567475105579113,0.1052068199583947
72,0.15101963880689992,0.10532893289882812,0.10491769907511313
73,0.14833885770252803,0.10499968344391097,0.10463960808957344
74,0.14572284723958218,0.10468607933634297,0.10437205413304135
75,0.14316980139355634,0.10438725373308133,0.10411457258900694
76,0.1406780472830823,0.10410239260456607,0.10386672518194702
77,0.1382460451532474,0.10383073129694467,0.1036280982203977
78,0.13587239027926853,0.10357155133368347,0.10339830098038597
79,0.1335558171546833,0.10332417743772995,0.10317696421671704
80,0.13129520645978204,0.10308797475726661,0.1029637387908999
81,0.12908959548437055,0.10286234627972123,0.10275829440563568
82,0.12693819292384856,0.10264673042011407,0.10256031843681139
83,0.12484039930803242,0.10244059877106151,0.10236951485484966
84,0.12279583480123425,0.10224345400284572,0.10218560322807638
85,0.12080437679480341,0.10205482790292623,0.1020083178014961
86,0.1188662106987086,0.10187427954512693,0.10183740664501653
87,0.11698189878011117,0.10170139357950089,0.1016726308657507
88,0.1151524740348116,0.1015357786345661,0.10151376387955312
89,0.11337956929493197,0.1013770658242283,0.10136059073742414
90,0.11166559669192659,0.10122490735227384,0.10121290750284703
91,0.11001400022137378,0.1010789752078305,0.10107052067651379
92,0.10842961617474534,0.10093895994566583,0.10093324666525118
93,0.10691919541762852,0.1008045695456244,0.10080091129228073
94,0.10549217256453643,0.10067552834590422,0.10067334934624222
95,0.10416181751628803,0.10055157604523766,0.10055040416667918
96,0.10294698516020176,0.10043246676938339,0.10043192726393188
97,0.10187479631082744,0.10031796819764753,0.10031777797161065
98,0.1009846903236454,0.10020786074544549,0.10020782313003095
99,0.10033394049787495,0.10010193679918453,0.10010193679918453
100,0.10000000000000002,0.10000000000000002,0.10000000000000002
