rho,performance0,interval0,performance1,interval1
5.000000e-02,1.842448e+00,2.814807e-03,8.740110e-01,1.264612e-03
1.000000e-01,1.691966e+00,2.790983e-03,7.639564e-01,1.350323e-03
1.500000e-01,1.546837e+00,2.459134e-03,6.707457e-01,1.332041e-03
2.000000e-01,1.408548e+00,2.563759e-03,5.892519e-01,1.102634e-03
2.500000e-01,1.271156e+00,2.487206e-03,5.142513e-01,1.001396e-03
3.000000e-01,1.147464e+00,2.661201e-03,4.509757e-01,9.086379e-04
3.500000e-01,1.023637e+00,2.468290e-03,3.932587e-01,9.333239e-04
4.000000e-01,9.089126e-01,2.051369e-03,3.423424e-01,8.608812e-04
4.500000e-01,8.015431e-01,1.927066e-03,2.959441e-01,8.290427e-04
5.000000e-01,6.992752e-01,1.921434e-03,2.537522e-01,8.279185e-04
5.500000e-01,6.062440e-01,1.838280e-03,2.169147e-01,9.027427e-04
6.000000e-01,5.176050e-01,1.792476e-03,1.834205e-01,7.166373e-04
6.500000e-01,4.323765e-01,1.670111e-03,1.519729e-01,6.495299e-04
7.000000e-01,3.565305e-01,1.503149e-03,1.238736e-01,7.496011e-04
7.500000e-01,2.841920e-01,1.677730e-03,9.831099e-02,6.930223e-04
8.000000e-01,2.178859e-01,1.440385e-03,7.427488e-02,6.010331e-04
8.500000e-01,1.569753e-01,1.488285e-03,5.329885e-02,5.479219e-04
9.000000e-01,9.907532e-02,1.296753e-03,3.366501e-02,5.674906e-04
9.500000e-01,4.824773e-02,1.342194e-03,1.647543e-02,5.258758e-04
