rho,performance,interval
5.000000e-02,1.927063e+00,2.720232e-03
1.000000e-01,1.855872e+00,3.008723e-03
1.500000e-01,1.783314e+00,2.758759e-03
2.000000e-01,1.714738e+00,2.786357e-03
2.500000e-01,1.640224e+00,2.689614e-03
3.000000e-01,1.568771e+00,3.113641e-03
3.500000e-01,1.497294e+00,2.429479e-03
4.000000e-01,1.421899e+00,2.931968e-03
4.500000e-01,1.345355e+00,2.930610e-03
5.000000e-01,1.268237e+00,2.878700e-03
5.500000e-01,1.185452e+00,2.933918e-03
6.000000e-01,1.107134e+00,3.109503e-03
6.500000e-01,1.025268e+00,3.337155e-03
7.000000e-01,9.368355e-01,2.726799e-03
7.500000e-01,8.486269e-01,2.934487e-03
8.000000e-01,7.505767e-01,3.408665e-03
8.500000e-01,6.478119e-01,3.675799e-03
9.000000e-01,5.370637e-01,3.761568e-03
9.500000e-01,3.994087e-01,4.769663e-03
