rho,performance,interval
5.000000e-02,2.586184e+00,2.142741e-03
1.000000e-01,2.727988e+00,2.546876e-03
1.500000e-01,2.891770e+00,2.501176e-03
2.000000e-01,3.082622e+00,3.291610e-03
2.500000e-01,3.307087e+00,4.285630e-03
3.000000e-01,3.572545e+00,4.337284e-03
3.500000e-01,3.897138e+00,4.900105e-03
4.000000e-01,4.274253e+00,5.805102e-03
4.500000e-01,4.716366e+00,8.646457e-03
5.000000e-01,5.254095e+00,8.828091e-03
5.500000e-01,5.904300e+00,1.237403e-02
6.000000e-01,6.682433e+00,1.461564e-02
6.500000e-01,7.645015e+00,1.931573e-02
7.000000e-01,8.878944e+00,2.117106e-02
7.500000e-01,1.045013e+01,3.672882e-02
8.000000e-01,1.255923e+01,4.566780e-02
8.500000e-01,1.557850e+01,6.297845e-02
9.000000e-01,2.024778e+01,1.036468e-01
9.500000e-01,2.955694e+01,2.348370e-01
